County,Real_GDP_2017,Real_GDP_2018,Real_GDP_2019,Real_GDP_2020,Rank_in_State_2020,Percent_change_2018,Percent_change_2019,Percent_change2020,Change_Rank_in_State_2020
Outagamie,"11,114,102","11,566,243","11,839,511","11,331,407",5,4.1,2.4,-4.3,45
Ozaukee,"4,842,185","4,874,533","4,981,660","4,788,860",15,0.7,2.2,-3.9,39
Pepin,"252,227","253,603","258,933","270,884",68,0.5,2.1,4.6,2
Pierce,"1,055,322","1,130,772","1,082,541","1,095,230",43,7.1,-4.3,1.2,6
Polk,"1,433,956","1,434,097","1,464,080","1,431,579",37,0,2.1,-2.2,17
Portage,"3,595,791","3,733,464","3,871,435","3,699,930",18,3.8,3.7,-4.4,46
Price,"585,794","564,832","574,815","541,486",62,-3.6,1.8,-5.8,59
Racine,"7,314,828","7,416,481","7,328,811","7,079,117",8,1.4,-1.2,-3.4,31
Richland,"710,590","682,022","731,935","667,432",53,-4,7.3,-8.8,65
Rock,"6,203,773","6,554,894","6,847,338","6,699,177",9,5.7,4.5,-2.2,15
Rusk,"541,289","516,929","531,227","497,322",63,-4.5,2.8,-6.4,60
St.Croix,"3,507,859","3,608,407","3,641,553","3,600,070",19,2.9,0.9,-1.1,13
Sauk,"3,304,303","3,408,211","3,581,017","3,200,415",23,3.1,5.1,-10.6,70
Sawyer,"601,891","577,722","612,093","594,006",57,-4,5.9,-3,27
Shawano,"1,274,372","1,300,889","1,331,621","1,255,543",39,2.1,2.4,-5.7,57
Sheboygan,"6,508,920","6,621,515","6,503,641","6,277,392",12,1.7,-1.8,-3.5,32
Taylor,"844,108","832,811","840,199","823,094",48,-1.3,0.9,-2,14
Trempealeau,"1,281,068","1,280,513","1,278,332","1,182,907",40,0,-0.2,-7.5,64
Vernon,"1,041,780","1,062,809","1,013,205","983,965",45,2,-4.7,-2.9,25
Vilas,"866,826","899,390","837,370","810,592",49,3.8,-6.9,-3.2,29
Walworth,"3,904,095","3,977,878","4,026,693","3,908,353",17,1.9,1.2,-2.9,26
Washburn,"544,705","541,871","548,091","547,777",60,-0.5,1.1,-0.1,8
Washington,"5,903,218","6,123,235","6,157,756","5,955,195",13,3.7,0.6,-3.3,30
Waukesha,"27,088,218","27,785,889","28,533,170","27,181,717",3,2.6,2.7,-4.7,51
Waupaca,"1,888,758","1,907,508","1,892,753","1,847,360",30,1,-0.8,-2.4,20
Waushara,"569,113","598,249","623,833","587,824",58,5.1,4.3,-5.8,58
Winnebago,"9,213,662","9,492,021","9,704,179","9,302,102",6,3,2.2,-4.1,42
Wood,"3,549,292","3,542,052","3,683,297","3,588,744",20,-0.2,4,-2.6,22
